SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Home or Road,Adversary,Adversary Name,Game Score
22024,1631093,22400455,2025-01-01,DET vs. ORL,W,27,8,11,0.727,5,6,0.833,1,2,0.5,0,1,1,4,1,0,5,0,22,9,Home,ORL,Orlando Magic,105 - 96
22024,1631093,22400432,2024-12-28,DET @ DEN,L,21,7,9,0.778,2,3,0.667,1,1,1.0,1,2,3,1,0,0,3,0,17,-17,Road,DEN,Denver Nuggets,121 - 134
22024,1631093,22400418,2024-12-26,DET @ SAC,W,33,7,13,0.538,3,7,0.429,2,3,0.667,3,3,6,0,0,1,3,2,19,-1,Road,SAC,Sacramento Kings,114 - 113
22024,1631093,22400404,2024-12-23,DET @ LAL,W,29,8,15,0.533,2,4,0.5,0,0,0.0,0,3,3,2,2,0,2,2,18,5,Road,LAL,Los Angeles Lakers,117 - 114
22024,1631093,22400387,2024-12-21,DET @ PHX,W,30,7,14,0.5,4,6,0.667,2,2,1.0,4,4,8,8,1,0,1,2,20,6,Road,PHX,Phoenix Suns,133 - 125
22024,1631093,22401205,2024-12-12,DET @ BOS,L,27,3,14,0.214,2,9,0.222,2,2,1.0,0,3,3,2,1,0,0,1,10,-17,Road,BOS,Boston Celtics,99 - 123
22024,1631093,22400343,2024-12-07,DET @ NYK,W,29,6,16,0.375,2,6,0.333,2,4,0.5,2,2,4,4,1,0,6,3,16,0,Road,NYK,New York Knicks,120 - 111
22024,1631093,22400319,2024-12-04,DET @ BOS,L,24,3,6,0.5,1,3,0.333,4,4,1.0,0,2,2,2,0,1,3,2,11,-18,Road,BOS,Boston Celtics,120 - 130
22024,1631093,22400052,2024-12-03,DET vs. MIL,L,30,3,10,0.3,1,3,0.333,1,2,0.5,1,2,3,5,2,0,2,0,8,-14,Home,MIL,Milwaukee Bucks,107 - 128
22024,1631093,22400301,2024-11-30,DET vs. PHI,L,27,5,16,0.313,3,8,0.375,2,2,1.0,1,1,2,5,1,0,1,2,15,-16,Home,PHI,Philadelphia 76ers,96 - 111
22024,1631093,22400045,2024-11-29,DET @ IND,W,31,8,13,0.615,3,8,0.375,4,4,1.0,1,4,5,6,1,0,3,0,23,15,Road,IND,Indiana Pacers,130 - 106
22024,1631093,22400293,2024-11-27,DET @ MEM,L,18,6,10,0.6,3,5,0.6,2,4,0.5,0,0,0,1,1,0,7,2,17,-3,Road,MEM,Memphis Grizzlies,111 - 131
22024,1631093,22400278,2024-11-25,DET vs. TOR,W,36,10,13,0.769,2,4,0.5,3,6,0.5,0,5,5,8,1,0,3,2,25,25,Home,TOR,Toronto Raptors,102 - 100
22024,1631093,22400265,2024-11-23,DET @ ORL,L,28,6,16,0.375,2,4,0.5,5,6,0.833,3,4,7,2,2,1,2,2,19,-16,Road,ORL,Orlando Magic,100 - 111
22024,1631093,22400260,2024-11-21,DET @ CHA,L,24,3,11,0.273,1,3,0.333,4,6,0.667,3,1,4,5,2,0,3,5,11,-10,Road,CHA,Charlotte Hornets,121 - 123
22024,1631093,22400244,2024-11-18,DET vs. CHI,L,32,3,12,0.25,1,4,0.25,5,7,0.714,0,3,3,5,0,0,0,3,12,-15,Home,CHI,Chicago Bulls,112 - 122
22024,1631093,22400237,2024-11-17,DET @ WAS,W,30,10,19,0.526,4,7,0.571,4,4,1.0,2,2,4,8,1,0,3,2,28,29,Road,WAS,Washington Wizards,124 - 104
22024,1631093,22400011,2024-11-15,DET @ TOR,W,28,4,13,0.308,1,5,0.2,5,8,0.625,1,1,2,5,1,2,2,0,14,9,Road,TOR,Toronto Raptors,99 - 95
22024,1631093,22400002,2024-11-12,DET vs. MIA,W,41,8,18,0.444,1,5,0.2,2,2,1.0,2,7,9,7,1,0,3,6,19,-2,Home,MIA,Miami Heat,123 - 121
22024,1631093,22400201,2024-11-10,DET vs. HOU,L,34,4,15,0.267,0,4,0.0,0,0,0.0,1,6,7,2,0,0,6,4,8,-3,Home,HOU,Houston Rockets,99 - 101
22024,1631093,22400185,2024-11-08,DET vs. ATL,W,29,7,13,0.538,1,4,0.25,3,7,0.429,2,1,3,3,1,3,4,4,18,-3,Home,ATL,Atlanta Hawks,122 - 121
22024,1631093,22400169,2024-11-06,DET @ CHA,L,34,8,16,0.5,3,5,0.6,2,2,1.0,2,2,4,5,0,1,3,2,21,-14,Road,CHA,Charlotte Hornets,107 - 108
22024,1631093,22400156,2024-11-04,DET vs. LAL,W,35,10,16,0.625,1,2,0.5,5,7,0.714,1,3,4,4,1,1,4,3,26,20,Home,LAL,Los Angeles Lakers,115 - 103
22024,1631093,22400151,2024-11-03,DET @ BKN,W,35,4,15,0.267,1,7,0.143,6,7,0.857,0,5,5,5,1,1,4,2,15,10,Road,BKN,Brooklyn Nets,106 - 92
22024,1631093,22400134,2024-11-01,DET vs. NYK,L,19,4,9,0.444,2,4,0.5,0,0,0.0,2,3,5,2,0,0,4,2,10,-22,Home,NYK,New York Knicks,98 - 128
22024,1631093,22400120,2024-10-30,DET @ PHI,W,37,9,17,0.529,3,7,0.429,2,2,1.0,0,3,3,3,2,0,4,3,23,3,Road,PHI,Philadelphia 76ers,105 - 95
22024,1631093,22400105,2024-10-28,DET @ MIA,L,32,6,16,0.375,5,9,0.556,1,2,0.5,2,2,4,1,2,0,4,2,18,-7,Road,MIA,Miami Heat,98 - 106
22024,1631093,22400089,2024-10-26,DET vs. BOS,L,39,10,18,0.556,2,5,0.4,4,5,0.8,2,3,5,6,1,0,1,2,26,-15,Home,BOS,Boston Celtics,118 - 124
22024,1631093,22400080,2024-10-25,DET @ CLE,L,29,8,16,0.5,2,5,0.4,4,6,0.667,0,5,5,4,0,0,2,4,22,-1,Road,CLE,Cleveland Cavaliers,101 - 113
22024,1631093,22400063,2024-10-23,DET vs. IND,L,31,5,13,0.385,0,2,0.0,7,9,0.778,4,1,5,4,1,0,1,3,17,-1,Home,IND,Indiana Pacers,109 - 115
