GAME_DATE,Adversary,WL,Home or Road,Score
2024-10-23,Indiana Pacers,L,Home,109 - 115
2024-10-25,Cleveland Cavaliers,L,Road,101 - 113
2024-10-26,Boston Celtics,L,Home,118 - 124
2024-10-28,Miami Heat,L,Road,98 - 106
2024-10-30,Philadelphia 76ers,W,Road,105 - 95
2024-11-01,New York Knicks,L,Home,98 - 128
2024-11-03,Brooklyn Nets,W,Road,106 - 92
2024-11-04,Los Angeles Lakers,W,Home,115 - 103
2024-11-06,Charlotte Hornets,L,Road,107 - 108
2024-11-08,Atlanta Hawks,W,Home,122 - 121
2024-11-10,Houston Rockets,L,Home,99 - 101
2024-11-12,Miami Heat,W,Home,123 - 121
2024-11-13,Milwaukee Bucks,L,Road,120 - 127
2024-11-15,Toronto Raptors,W,Road,99 - 95
2024-11-17,Washington Wizards,W,Road,124 - 104
2024-11-18,Chicago Bulls,L,Home,112 - 122
2024-11-21,Charlotte Hornets,L,Road,121 - 123
2024-11-23,Orlando Magic,L,Road,100 - 111
2024-11-25,Toronto Raptors,W,Home,102 - 100
2024-11-27,Memphis Grizzlies,L,Road,111 - 131
2024-11-29,Indiana Pacers,W,Road,130 - 106
2024-11-30,Philadelphia 76ers,L,Home,96 - 111
2024-12-03,Milwaukee Bucks,L,Home,107 - 128
2024-12-04,Boston Celtics,L,Road,120 - 130
2024-12-07,New York Knicks,W,Road,120 - 111
2024-12-12,Boston Celtics,L,Road,99 - 123
2024-12-16,Miami Heat,W,Home,125 - 124
2024-12-19,Utah Jazz,L,Home,119 - 126
2024-12-21,Phoenix Suns,W,Road,133 - 125
2024-12-23,Los Angeles Lakers,W,Road,117 - 114
