GAME_DATE,Adversary,Adversary Name,WL,Home or Road,Score
2021-10-20,CHI,Chicago Bulls,L,Home,88 - 94
2021-10-23,CHI,Chicago Bulls,L,Road,82 - 97
2021-10-25,ATL,Atlanta Hawks,L,Road,104 - 122
2021-10-28,PHI,Philadelphia 76ers,L,Road,102 - 110
2021-10-30,ORL,Orlando Magic,W,Home,110 - 103
2021-10-31,BKN,Brooklyn Nets,L,Road,91 - 117
2021-11-02,MIL,Milwaukee Bucks,L,Home,89 - 117
2021-11-04,PHI,Philadelphia 76ers,L,Home,98 - 109
2021-11-05,BKN,Brooklyn Nets,L,Home,90 - 96
2021-11-10,HOU,Houston Rockets,W,Road,112 - 104
2021-11-12,CLE,Cleveland Cavaliers,L,Road,78 - 98
2021-11-13,TOR,Toronto Raptors,W,Road,127 - 121
2021-11-15,SAC,Sacramento Kings,L,Home,107 - 129
2021-11-17,IND,Indiana Pacers,W,Home,97 - 89
2021-11-19,GSW,Golden State Warriors,L,Home,102 - 105
2021-11-21,LAL,Los Angeles Lakers,L,Home,116 - 121
2021-11-23,MIA,Miami Heat,L,Home,92 - 100
2021-11-24,MIL,Milwaukee Bucks,L,Road,93 - 114
2021-11-26,LAC,Los Angeles Clippers,L,Road,96 - 107
2021-11-28,LAL,Los Angeles Lakers,L,Road,106 - 110
2021-11-30,POR,Portland Trail Blazers,L,Road,92 - 110
2021-12-02,PHX,Phoenix Suns,L,Road,103 - 114
2021-12-06,OKC,Oklahoma City Thunder,L,Home,103 - 114
2021-12-08,WAS,Washington Wizards,L,Home,116 - 119
2021-12-10,NOP,New Orleans Pelicans,L,Road,93 - 109
2021-12-12,BKN,Brooklyn Nets,L,Home,104 - 116
2021-12-16,IND,Indiana Pacers,L,Road,113 - 122
2021-12-18,HOU,Houston Rockets,L,Home,107 - 116
2021-12-19,MIA,Miami Heat,W,Home,100 - 90
2021-12-21,NYK,New York Knicks,L,Road,91 - 105
2021-12-23,MIA,Miami Heat,L,Road,112 - 115
2021-12-26,SAS,San Antonio Spurs,L,Road,109 - 144
2021-12-29,NYK,New York Knicks,L,Home,85 - 94
2022-01-01,SAS,San Antonio Spurs,W,Home,117 - 116
2022-01-03,MIL,Milwaukee Bucks,W,Road,115 - 106
2022-01-05,CHA,Charlotte Hornets,L,Road,111 - 140
2022-01-06,MEM,Memphis Grizzlies,L,Road,88 - 118
2022-01-08,ORL,Orlando Magic,W,Home,97 - 92
2022-01-10,UTA,Utah Jazz,W,Home,126 - 116
2022-01-11,CHI,Chicago Bulls,L,Road,87 - 133
2022-01-14,TOR,Toronto Raptors,W,Home,103 - 87
2022-01-16,PHX,Phoenix Suns,L,Home,108 - 135
2022-01-18,GSW,Golden State Warriors,L,Road,86 - 102
2022-01-19,SAC,Sacramento Kings,W,Road,133 - 131
2022-01-21,UTA,Utah Jazz,L,Road,101 - 111
2022-01-23,DEN,Denver Nuggets,L,Road,111 - 117
2022-01-25,DEN,Denver Nuggets,L,Home,105 - 110
2022-01-28,ORL,Orlando Magic,L,Road,103 - 119
2022-01-30,CLE,Cleveland Cavaliers,W,Home,115 - 105
2022-02-01,NOP,New Orleans Pelicans,L,Home,101 - 111
2022-02-03,MIN,Minnesota Timberwolves,L,Home,117 - 128
2022-02-04,BOS,Boston Celtics,L,Home,93 - 102
2022-02-06,MIN,Minnesota Timberwolves,L,Road,105 - 118
2022-02-08,DAL,Dallas Mavericks,L,Road,86 - 116
2022-02-10,MEM,Memphis Grizzlies,L,Home,107 - 132
2022-02-11,CHA,Charlotte Hornets,L,Home,119 - 141
2022-02-14,WAS,Washington Wizards,L,Road,94 - 103
2022-02-16,BOS,Boston Celtics,W,Road,112 - 111
2022-02-24,CLE,Cleveland Cavaliers,W,Home,106 - 103
2022-02-26,BOS,Boston Celtics,L,Home,104 - 113
2022-02-27,CHA,Charlotte Hornets,W,Road,127 - 126
2022-03-01,WAS,Washington Wizards,L,Road,113 - 116
2022-03-03,TOR,Toronto Raptors,W,Road,108 - 106
2022-03-04,IND,Indiana Pacers,W,Home,111 - 106
2022-03-07,ATL,Atlanta Hawks,W,Home,113 - 110
2022-03-09,CHI,Chicago Bulls,L,Home,108 - 114
2022-03-11,BOS,Boston Celtics,L,Road,103 - 114
2022-03-13,LAC,Los Angeles Clippers,L,Home,102 - 106
2022-03-15,MIA,Miami Heat,L,Road,98 - 105
2022-03-17,ORL,Orlando Magic,W,Road,134 - 120
2022-03-19,CLE,Cleveland Cavaliers,L,Road,109 - 113
2022-03-21,POR,Portland Trail Blazers,L,Home,115 - 119
2022-03-23,ATL,Atlanta Hawks,W,Home,122 - 101
2022-03-25,WAS,Washington Wizards,L,Home,97 - 100
2022-03-27,NYK,New York Knicks,L,Home,102 - 104
2022-03-29,BKN,Brooklyn Nets,L,Road,123 - 130
2022-03-31,PHI,Philadelphia 76ers,W,Home,102 - 94
2022-04-01,OKC,Oklahoma City Thunder,W,Road,110 - 101
2022-04-03,IND,Indiana Pacers,W,Road,121 - 117
2022-04-06,DAL,Dallas Mavericks,L,Home,113 - 131
2022-04-08,MIL,Milwaukee Bucks,L,Home,101 - 131
2022-04-10,PHI,Philadelphia 76ers,L,Road,106 - 118
2022-10-19,ORL,Orlando Magic,W,Home,113 - 109
2022-10-21,NYK,New York Knicks,L,Road,106 - 130
2022-10-22,IND,Indiana Pacers,L,Road,115 - 124
2022-10-25,WAS,Washington Wizards,L,Road,99 - 120
2022-10-26,ATL,Atlanta Hawks,L,Home,113 - 118
2022-10-28,ATL,Atlanta Hawks,L,Home,112 - 136
2022-10-30,GSW,Golden State Warriors,W,Home,128 - 114
2022-10-31,MIL,Milwaukee Bucks,L,Road,108 - 110
2022-11-02,MIL,Milwaukee Bucks,L,Road,91 - 116
2022-11-04,CLE,Cleveland Cavaliers,L,Home,88 - 112
2022-11-07,OKC,Oklahoma City Thunder,W,Home,112 - 103
2022-11-09,BOS,Boston Celtics,L,Road,112 - 128
2022-11-11,NYK,New York Knicks,L,Road,112 - 121
2022-11-12,BOS,Boston Celtics,L,Home,108 - 117
2022-11-14,TOR,Toronto Raptors,L,Home,111 - 115
2022-11-17,LAC,Los Angeles Clippers,L,Road,91 - 96
2022-11-18,LAL,Los Angeles Lakers,L,Road,121 - 128
2022-11-20,SAC,Sacramento Kings,L,Road,129 - 137
2022-11-22,DEN,Denver Nuggets,W,Road,110 - 108
2022-11-23,UTA,Utah Jazz,W,Road,125 - 116
2022-11-25,PHX,Phoenix Suns,L,Road,102 - 108
2022-11-27,CLE,Cleveland Cavaliers,L,Home,94 - 102
2022-11-29,NYK,New York Knicks,L,Home,110 - 140
2022-12-01,DAL,Dallas Mavericks,W,Home,131 - 125
2022-12-04,MEM,Memphis Grizzlies,L,Home,112 - 122
2022-12-06,MIA,Miami Heat,W,Road,116 - 96
2022-12-07,NOP,New Orleans Pelicans,L,Road,98 - 104
2022-12-09,MEM,Memphis Grizzlies,L,Road,103 - 114
2022-12-11,LAL,Los Angeles Lakers,L,Home,117 - 124
2022-12-14,CHA,Charlotte Hornets,W,Road,141 - 134
2022-12-16,SAC,Sacramento Kings,L,Home,113 - 122
2022-12-18,BKN,Brooklyn Nets,L,Home,121 - 124
2022-12-20,UTA,Utah Jazz,L,Home,111 - 126
2022-12-21,PHI,Philadelphia 76ers,L,Road,93 - 113
2022-12-23,ATL,Atlanta Hawks,L,Road,105 - 130
2022-12-26,LAC,Los Angeles Clippers,L,Home,131 - 142
