SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
22021,1630595,22101203,"APR 08, 2022",DET vs. MIL,L,39,6,18,0.333,0,5,0.0,2,2,1.0,0,6,6,7,0,1,6,4,14,-38,2021-22
22021,1630595,22101190,"APR 06, 2022",DET vs. DAL,L,38,7,19,0.368,1,4,0.25,10,11,0.909,1,6,7,9,2,1,5,4,25,-18,2021-22
22021,1630595,22101157,"APR 01, 2022",DET @ OKC,W,8,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,2,-2,2021-22
22021,1630595,22101147,"MAR 31, 2022",DET vs. PHI,W,35,12,20,0.6,0,3,0.0,3,4,0.75,0,2,2,6,4,0,2,5,27,-1,2021-22
22021,1630595,22101133,"MAR 29, 2022",DET @ BKN,L,32,13,24,0.542,5,11,0.455,3,3,1.0,0,1,1,6,2,0,4,2,34,-12,2021-22
22021,1630595,22101115,"MAR 27, 2022",DET vs. NYK,L,37,7,18,0.389,1,4,0.25,3,4,0.75,0,0,0,7,1,2,4,2,18,1,2021-22
22021,1630595,22101101,"MAR 25, 2022",DET vs. WAS,L,35,11,22,0.5,0,2,0.0,0,0,0.0,3,4,7,9,0,1,3,4,22,0,2021-22
22021,1630595,22101085,"MAR 23, 2022",DET vs. ATL,W,35,7,12,0.583,0,2,0.0,3,3,1.0,1,5,6,8,1,1,5,3,17,43,2021-22
22021,1630595,22101073,"MAR 21, 2022",DET vs. POR,L,36,10,17,0.588,1,3,0.333,4,5,0.8,0,3,3,7,4,1,9,5,25,-5,2021-22
22021,1630595,22101060,"MAR 19, 2022",DET @ CLE,L,36,5,13,0.385,2,4,0.5,3,6,0.5,2,4,6,10,2,1,5,4,15,2,2021-22
22021,1630595,22101013,"MAR 13, 2022",DET vs. LAC,L,44,10,20,0.5,0,3,0.0,3,3,1.0,0,9,9,10,0,2,3,1,23,1,2021-22
22021,1630595,22100997,"MAR 11, 2022",DET @ BOS,L,41,10,27,0.37,3,10,0.3,4,4,1.0,1,7,8,6,0,0,4,2,27,-4,2021-22
22021,1630595,22100982,"MAR 09, 2022",DET vs. CHI,L,36,9,15,0.6,2,3,0.667,2,2,1.0,0,4,4,6,0,0,6,5,22,-7,2021-22
22021,1630595,22100968,"MAR 07, 2022",DET vs. ATL,W,43,10,25,0.4,2,7,0.286,6,7,0.857,1,5,6,10,1,1,3,5,28,11,2021-22
22021,1630595,22100946,"MAR 04, 2022",DET vs. IND,W,32,8,20,0.4,2,4,0.5,2,2,1.0,1,8,9,3,1,0,4,1,20,9,2021-22
22021,1630595,22100942,"MAR 03, 2022",DET @ TOR,W,38,9,20,0.45,4,9,0.444,0,0,0.0,2,10,12,5,2,1,1,4,22,9,2021-22
22021,1630595,22100926,"MAR 01, 2022",DET @ WAS,L,32,9,18,0.5,0,3,0.0,2,3,0.667,2,7,9,5,1,0,3,4,20,4,2021-22
22021,1630595,22100915,"FEB 27, 2022",DET @ CHA,W,33,7,16,0.438,1,3,0.333,4,6,0.667,0,5,5,6,0,0,5,4,19,6,2021-22
22021,1630595,22100905,"FEB 26, 2022",DET vs. BOS,L,27,11,19,0.579,1,6,0.167,2,3,0.667,0,7,7,3,0,0,2,5,25,5,2021-22
22021,1630595,22100889,"FEB 24, 2022",DET vs. CLE,W,32,4,16,0.25,0,4,0.0,9,10,0.9,3,3,6,6,0,2,2,3,17,-10,2021-22
22021,1630595,22100875,"FEB 16, 2022",DET @ BOS,W,36,8,22,0.364,3,6,0.5,1,2,0.5,2,6,8,6,0,0,5,5,20,1,2021-22
22021,1630595,22100858,"FEB 14, 2022",DET @ WAS,L,27,5,16,0.313,0,5,0.0,2,2,1.0,0,4,4,4,1,0,2,4,12,-1,2021-22
22021,1630595,22100838,"FEB 11, 2022",DET vs. CHA,L,22,5,13,0.385,2,5,0.4,0,0,0.0,1,4,5,2,2,1,6,2,12,-17,2021-22
22021,1630595,22100766,"FEB 01, 2022",DET vs. NOP,L,21,3,8,0.375,0,2,0.0,0,0,0.0,1,4,5,1,2,0,2,3,6,1,2021-22
22021,1630595,22100754,"JAN 30, 2022",DET vs. CLE,W,37,6,21,0.286,2,4,0.5,5,5,1.0,5,5,10,10,3,1,1,3,19,9,2021-22
22021,1630595,22100736,"JAN 28, 2022",DET @ ORL,L,30,3,17,0.176,0,5,0.0,2,2,1.0,0,2,2,4,0,0,2,1,8,-13,2021-22
22021,1630595,22100714,"JAN 25, 2022",DET vs. DEN,L,40,14,26,0.538,6,9,0.667,0,0,0.0,0,8,8,8,2,4,4,5,34,-4,2021-22
22021,1630595,22100707,"JAN 23, 2022",DET @ DEN,L,36,7,15,0.467,1,5,0.2,3,3,1.0,1,4,5,8,1,1,6,3,18,-4,2021-22
22021,1630595,22100693,"JAN 21, 2022",DET @ UTA,L,41,11,23,0.478,1,4,0.25,2,2,1.0,2,4,6,5,2,3,2,5,25,-14,2021-22
22021,1630595,22100679,"JAN 19, 2022",DET @ SAC,W,21,4,8,0.5,1,2,0.5,4,5,0.8,0,1,1,0,0,0,1,6,13,-24,2021-22
22021,1630595,22100667,"JAN 18, 2022",DET @ GSW,L,28,3,10,0.3,2,4,0.5,0,0,0.0,1,0,1,4,1,0,5,2,8,-20,2021-22
22021,1630595,22100617,"JAN 16, 2022",DET vs. PHX,L,25,9,15,0.6,1,3,0.333,2,3,0.667,0,1,1,4,1,0,0,3,21,-20,2021-22
22021,1630595,22100633,"JAN 14, 2022",DET vs. TOR,W,33,8,15,0.533,1,4,0.25,1,1,1.0,0,7,7,5,1,0,2,1,18,12,2021-22
22021,1630595,22100415,"JAN 11, 2022",DET @ CHI,L,29,3,11,0.273,2,5,0.4,0,0,0.0,1,6,7,3,1,0,6,4,8,-30,2021-22
22021,1630595,22100608,"JAN 10, 2022",DET vs. UTA,W,38,10,17,0.588,5,9,0.556,4,4,1.0,0,1,1,8,2,2,5,2,29,22,2021-22
