SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
22023,1630595,22301088,"APR 01, 2024",DET vs. MEM,L,34.0,13,22.0,0.591,3,4,0.75,7,8,0.875,1.0,3,4,8,2.0,1,4,1.0,36,6
22023,1630595,22301065,"MAR 29, 2024",DET @ WAS,W,37.0,13,30.375,0.394,2,5,0.4,5,5,1.0,1.0,7,8,7,2.0,0,3,3.0,33,16
22023,1630595,22301056,"MAR 27, 2024",DET @ MIN,L,29.0,11,23.0,0.478,3,8,0.375,7,8,0.875,0.0,1,1,2,1.0,0,1,0.5,32,-6
22023,1630595,22301011,"MAR 22, 2024",DET vs. BOS,L,29.0,6,17.0,0.353,1,4,0.25,2,2,1.0,1.0,5,6,6,2.0,0,3,4.0,15,-27
22023,1630595,22300997,"MAR 20, 2024",DET vs. IND,L,29.0,9,22.0,0.409,0,2,0.0,5,6,0.833,0.0,6,6,10,1.0,0,4,1.0,23,-19
22023,1630595,22300977,"MAR 17, 2024",DET vs. MIA,L,32.0,8,19.0,0.421,1,6,0.167,0,0,0.1675000000000001,0.0,4,4,9,1.0,1,3,2.0,17,-15
22023,1630595,22300962,"MAR 15, 2024",DET vs. MIA,L,31.0,5,15.0,0.333,0,4,0.0,1,1,1.0,2.5,3,6,9,0.0,0,3,2.0,11,-13
22023,1630595,22300946,"MAR 13, 2024",DET vs. TOR,W,28.0,8,20.0,0.4,2,5,0.4,1,2,0.5,0.0,3,3,6,1.0,0,3,2.0,19,7
22023,1630595,22300933,"MAR 11, 2024",DET vs. CHA,W,32.0,8,20.0,0.4,2,10,0.2,4,4,1.0,0.0,6,6,8,1.0,0,2,1.0,22,20
22023,1630595,22300919,"MAR 09, 2024",DET vs. DAL,L,32.0,11,21.0,0.524,3,7,0.429,8,8,1.0,2.5,6,9,10,0.0,0,5,2.0,33,-7
22023,1630595,22300902,"MAR 07, 2024",DET vs. BKN,W,38.0,10,22.0,0.455,4,8,0.5,8,9,0.889,1.0,4,5,11,0.0,1,5,0.5,32,19
22023,1630595,22300888,"MAR 05, 2024",DET @ MIA,L,34.0,8,20.0,0.4,4,8,0.5,3,3,1.0,1.0,3,4,8,0.0,0,3,2.0,23,-6
22023,1630595,22300874,"MAR 03, 2024",DET @ ORL,L,23.0,4,12.0,0.333,1,4,0.25,0,0,0.1675000000000001,0.0,2,2,7,1.0,0,1,2.0,9,-21
22023,1630595,22300857,"MAR 01, 2024",DET vs. CLE,L,37.0,6,19.0,0.316,2,8,0.25,7,7,1.0,0.0,3,3,10,1.0,0,1,3.0,21,3
22023,1630595,22300839,"FEB 27, 2024",DET @ CHI,W,36.0,9,13.0,0.664625,3,5,0.6,5,7,0.714,1.0,4,5,5,0.0,1,3,0.5,26,23
22023,1630595,22300828,"FEB 26, 2024",DET @ NYK,L,36.0,10,19.0,0.526,5,7,0.714,7,8,0.875,2.0,3,5,8,0.0,2,5,1.0,32,3
22023,1630595,22300814,"FEB 24, 2024",DET vs. ORL,L,31.0,11,20.0,0.55,4,7,0.571,0,0,0.1675000000000001,1.0,6,7,4,1.0,0,3,4.0,26,-1
22023,1630595,22300793,"FEB 22, 2024",DET @ IND,L,30.0,13,21.0,0.619,4,9,0.444,0,0,0.1675000000000001,0.0,5,5,8,1.0,0,3,4.0,30,10
22023,1630595,22300787,"FEB 14, 2024",DET @ PHX,L,26.0,5,11.0,0.455,0,1,0.0,3,5,0.6,1.0,3,4,8,1.0,2,5,3.0,13,-17
22023,1630595,22300776,"FEB 13, 2024",DET @ LAL,L,25.0,4,15.0,0.267,0,2,0.0,4,4,1.0,1.0,6,7,7,0.0,0,0,1.0,12,-17
22023,1630595,22300749,"FEB 10, 2024",DET @ LAC,L,35.0,9,18.0,0.5,1,3,0.333,3,3,1.0,0.0,6,6,10,0.0,1,2,2.0,22,2
22023,1630595,22300741,"FEB 08, 2024",DET @ POR,W,39.0,8,17.0,0.471,1,5,0.2,6,6,1.0,0.0,2,2,5,0.0,0,2,0.5,23,7
22023,1630595,22300704,"FEB 04, 2024",DET vs. ORL,L,32.0,6,14.0,0.429,1,3,0.333,5,7,0.714,0.0,5,5,7,2.0,0,1,2.0,18,-8
22023,1630595,22300688,"FEB 02, 2024",DET vs. LAC,L,33.0,7,17.0,0.412,1,3,0.333,1,1,1.0,0.0,3,3,11,1.0,0,4,4.0,16,-11
22023,1630595,22300675,"JAN 31, 2024",DET @ CLE,L,31.0,8,16.0,0.5,2,4,0.5,1,2,0.5,0.0,2,2,7,2.0,1,0,4.0,19,-22
22023,1630595,22300642,"JAN 27, 2024",DET vs. WAS,L,35.0,7,17.0,0.412,2,3,0.667,4,6,0.667,0.0,4,4,12,0.0,0,7,3.0,20,-6
22023,1630595,22300502,"JAN 07, 2024",DET @ DEN,L,20.875,1,7.375,0.22562499999999996,1,2,0.5,0,0,0.1675000000000001,0.0,3,3,3,0.0,0,0,2.0,3,-2
22023,1630595,22300490,"JAN 05, 2024",DET @ GSW,L,35.0,13,22.0,0.591,1,7,0.143,3,3,1.0,0.0,5,5,3,0.0,1,2,2.0,30,-7
22023,1630595,22300474,"JAN 03, 2024",DET @ UTA,L,40.0,12,21.0,0.571,3,7,0.429,4,5,0.8,0.0,5,5,13,1.0,0,6,4.5,31,-13
22023,1630595,22300453,"JAN 01, 2024",DET @ HOU,L,30.0,3,16.0,0.22562499999999996,0,5,0.0,0,1,0.1675000000000001,0.0,1,1,10,0.0,0,4,2.0,6,-21
22023,1630595,22300440,"DEC 30, 2023",DET vs. TOR,W,38.0,9,20.0,0.45,2,4,0.5,10,10,1.0,0.0,3,3,12,1.0,0,0,4.0,30,1
22023,1630595,22300421,"DEC 28, 2023",DET @ BOS,L,43.0,12,22.0,0.545,4,6,0.667,3,4,0.75,1.0,5,6,9,2.5,2,6,3.0,31,4
22023,1630595,22300406,"DEC 26, 2023",DET vs. BKN,L,37.0,15,21.0,0.664625,3,4,0.75,8,10,0.8,1.0,8,9,5,1.0,1,3,4.0,41,5
22023,1630595,22300394,"DEC 23, 2023",DET @ BKN,L,33.0,9,20.0,0.45,1,5,0.2,3,4,0.75,0.0,3,3,6,0.0,0,2,4.0,22,-5
22023,1630595,22300374,"DEC 21, 2023",DET vs. UTA,L,39.0,10,22.0,0.455,2,6,0.333,6,7,0.857,1.0,5,6,10,2.0,1,6,2.0,28,1
22023,1630595,22300352,"DEC 18, 2023",DET @ ATL,L,44.0,16,24.0,0.664625,3,5,0.6,8,9,0.889,1.0,4,5,7,2.5,1,3,1.0,43,-2
22023,1630595,22300334,"DEC 16, 2023",DET @ MIL,L,31.0,10,17.0,0.588,0,2,0.0,5,6,0.833,0.0,1,1,6,1.0,0,2,3.0,25,-13
22023,1630595,22300327,"DEC 15, 2023",DET @ PHI,L,24.0,2,9.0,0.22562499999999996,0,2,0.0,0,0,0.1675000000000001,0.0,3,3,2,1.0,1,3,3.0,4,-32
22023,1630595,22300310,"DEC 13, 2023",DET vs. PHI,L,30.0,5,17.0,0.294,1,8,0.125,10,12,0.833,1.0,5,6,7,0.0,0,1,3.0,21,-23
22023,1630595,22300293,"DEC 11, 2023",DET vs. IND,L,38.0,11,21.0,0.524,1,6,0.167,0,0,0.1675000000000001,0.0,6,6,7,1.0,0,3,3.0,23,-8
22023,1630595,22301217,"DEC 08, 2023",DET @ ORL,L,32.0,8,15.0,0.533,2,6,0.333,3,4,0.75,1.0,2,3,6,1.0,0,3,1.0,21,-20
22023,1630595,22301206,"DEC 06, 2023",DET vs. MEM,L,34.0,6,14.0,0.429,1,5,0.2,3,3,1.0,0.0,4,4,10,2.0,1,5,2.0,16,-1
22023,1630595,22300283,"DEC 02, 2023",DET vs. CLE,L,37.0,8,20.0,0.4,3,6,0.5,4,4,1.0,0.0,8,8,11,2.0,0,1,3.0,23,13
22023,1630595,22300268,"NOV 30, 2023",DET @ NYK,L,37.0,12,20.0,0.6,4,9,0.444,3,4,0.75,0.0,2,2,8,2.0,0,7,2.0,31,1
22023,1630595,22300258,"NOV 29, 2023",DET vs. LAL,L,23.0,6,15.0,0.4,2,4,0.5,1,1,1.0,0.0,4,4,5,1.0,0,2,1.0,15,-33
22023,1630595,22300253,"NOV 27, 2023",DET vs. WAS,L,32.0,10,22.0,0.455,2,7,0.286,4,4,1.0,1.0,4,5,7,1.0,0,1,2.0,26,-12
22023,1630595,22300047,"NOV 24, 2023",DET @ IND,L,38.0,10,26.0,0.385,2,4,0.5,9,9,1.0,0.0,3,3,5,0.0,0,4,0.5,31,-12
22023,1630595,22300218,"NOV 20, 2023",DET vs. DEN,L,38.0,7,17.0,0.412,2,4,0.5,11,11,1.0,0.0,2,2,9,2.5,1,5,2.0,27,7
22023,1630595,22300211,"NOV 19, 2023",DET @ TOR,L,27.0,7,17.0,0.412,3,5,0.6,1,3,0.333,2.0,3,5,4,0.0,0,3,2.0,18,-22
22023,1630595,22300030,"NOV 17, 2023",DET @ CLE,L,34.0,9,21.0,0.429,2,7,0.286,0,0,0.1675000000000001,1.0,4,5,8,0.0,0,4,4.0,20,5
22023,1630595,22300018,"NOV 14, 2023",DET vs. ATL,L,38.0,4,14.0,0.286,1,3,0.333,0,0,0.1675000000000001,1.0,2,3,12,2.5,0,6,3.0,9,-11
22023,1630595,22300181,"NOV 12, 2023",DET @ CHI,L,38.0,4,15.0,0.267,0,5,0.0,2,2,1.0,0.0,3,3,5,0.0,1,1,4.0,10,-24
22023,1630595,22300008,"NOV 10, 2023",DET vs. PHI,L,36.0,8,18.0,0.444,1,5,0.2,4,4,1.0,1.0,3,4,7,0.0,0,4,4.5,21,-5
22023,1630595,22300165,"NOV 08, 2023",DET @ MIL,L,39.0,11,27.0,0.407,2,8,0.25,9,10,0.9,2.0,6,8,8,0.0,0,5,2.0,33,-8
22023,1630595,22300145,"NOV 06, 2023",DET vs. GSW,L,40.0,7,18.0,0.389,1,6,0.167,6,7,0.857,0.0,4,4,5,2.0,0,5,2.0,21,-9
