GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
22400063,2024-10-23,DET vs. IND,L,240,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,14,21,109,-6
22400080,2024-10-25,DET @ CLE,L,240,38,81,0.469,13,32,0.406,12,17,0.706,8,34,42,25,3,5,22,22,101,-12
22400089,2024-10-26,DET vs. BOS,L,240,43,88,0.489,14,39,0.359,18,22,0.818,9,35,44,27,4,7,15,22,118,-6
22400105,2024-10-28,DET @ MIA,L,240,35,91,0.385,14,38,0.368,14,17,0.824,19,35,54,14,6,6,17,19,98,-8
22400120,2024-10-30,DET @ PHI,W,240,36,78,0.462,15,36,0.417,18,22,0.818,12,37,49,23,4,5,17,25,105,10
22400134,2024-11-01,DET vs. NYK,L,240,41,81,0.506,11,34,0.324,5,7,0.714,6,32,38,23,6,9,22,12,98,-30
22400151,2024-11-03,DET @ BKN,W,240,37,77,0.481,11,36,0.306,21,26,0.808,9,38,47,25,4,6,21,25,106,14
22400156,2024-11-04,DET vs. LAL,W,240,45,96,0.469,8,34,0.235,17,22,0.773,17,38,55,22,6,5,12,25,115,12
22400169,2024-11-06,DET @ CHA,L,240,46,94,0.489,10,32,0.313,5,9,0.556,6,40,46,34,5,4,11,20,107,-1
22400185,2024-11-08,DET vs. ATL,W,240,44,86,0.512,13,33,0.394,21,31,0.677,11,34,45,27,7,8,21,18,122,1
22400201,2024-11-10,DET vs. HOU,L,240,36,84,0.429,11,34,0.324,16,23,0.696,11,35,46,21,6,6,18,21,99,-2
22400002,2024-11-12,DET vs. MIA,W,265,43,92,0.467,13,36,0.361,24,28,0.857,15,41,56,32,4,4,19,19,123,2
22400223,2024-11-13,DET @ MIL,L,265,46,100,0.46,18,38,0.474,10,13,0.769,11,34,45,29,6,7,15,21,120,-7
22400011,2024-11-15,DET @ TOR,W,240,39,95,0.411,8,38,0.211,13,20,0.65,14,42,56,24,8,8,14,16,99,4
22400237,2024-11-17,DET @ WAS,W,240,46,97,0.474,17,38,0.447,15,19,0.789,13,38,51,27,11,4,9,19,124,20
22400244,2024-11-18,DET vs. CHI,L,240,42,98,0.429,15,44,0.341,13,19,0.684,16,32,48,27,3,3,9,19,112,-10
22400260,2024-11-21,DET @ CHA,L,265,42,99,0.424,17,48,0.354,20,25,0.8,21,35,56,30,8,3,19,23,121,-2
22400265,2024-11-23,DET @ ORL,L,240,35,75,0.467,13,33,0.394,17,22,0.773,10,24,34,16,7,8,17,21,100,-11
22400278,2024-11-25,DET vs. TOR,W,240,34,76,0.447,12,37,0.324,22,31,0.71,6,32,38,27,4,7,14,19,102,2
22400293,2024-11-27,DET @ MEM,L,240,40,85,0.471,13,38,0.342,18,25,0.72,9,33,42,24,6,4,20,17,111,-20
22400045,2024-11-29,DET @ IND,W,240,48,83,0.578,18,38,0.474,16,20,0.8,7,37,44,35,9,5,18,16,130,24
22400301,2024-11-30,DET vs. PHI,L,240,35,91,0.385,11,40,0.275,15,18,0.833,10,32,42,22,6,5,17,19,96,-15
22400052,2024-12-03,DET vs. MIL,L,240,40,87,0.46,11,33,0.333,16,22,0.727,13,28,41,22,11,7,18,21,107,-21
22400319,2024-12-04,DET @ BOS,L,240,43,84,0.512,20,39,0.513,14,18,0.778,8,26,34,27,10,5,19,21,120,-10
22400343,2024-12-07,DET @ NYK,W,240,43,83,0.518,18,36,0.5,16,19,0.842,9,34,43,28,7,0,19,20,120,9
22401205,2024-12-12,DET @ BOS,L,240,42,98,0.429,7,37,0.189,8,10,0.8,9,34,43,27,8,4,8,12,99,-24
22401221,2024-12-16,DET vs. MIA,W,265,44,90,0.489,20,40,0.5,17,23,0.739,7,45,52,32,8,4,22,24,125,1
22400360,2024-12-19,DET vs. UTA,L,240,46,105,0.438,13,47,0.277,14,18,0.778,13,26,39,26,10,8,10,25,119,-7
22400387,2024-12-21,DET @ PHX,W,240,49,89,0.551,19,39,0.487,16,22,0.727,10,25,35,31,13,4,13,19,133,8
