TeamID,TeamName,WINS,LOSSES,WinPCT,HOME,ROAD,L10,CurrentStreak
1610612739,Cavaliers,26,4,0.867,17-1 ,9-3  ,9-1  ,5
1610612738,Celtics,22,8,0.733,11-5 ,11-3 ,6-4  ,-2
1610612752,Knicks,20,10,0.667,10-4 ,10-6 ,8-2  ,5
1610612753,Magic,19,13,0.594,12-3 ,7-10 ,4-6  ,-1
1610612749,Bucks,16,13,0.552,10-5 ,5-8  ,6-4  ,-1
1610612737,Hawks,16,15,0.516,9-7  ,7-7  ,6-4  ,2
1610612748,Heat,15,13,0.536,9-5  ,5-8  ,6-4  ,2
1610612754,Pacers,15,16,0.484,8-5  ,7-11 ,6-4  ,-1
1610612765,Pistons,14,17,0.452,5-8  ,9-9  ,5-5  ,3
1610612741,Bulls,13,18,0.419,4-11 ,9-7  ,5-5  ,-3
1610612751,Nets,12,18,0.4,5-8  ,7-10 ,3-7  ,1
1610612755,76ers,11,17,0.393,5-9  ,6-8  ,7-3  ,2
1610612766,Hornets,7,23,0.233,5-11 ,2-12 ,1-9  ,-6
1610612761,Raptors,7,24,0.226,6-10 ,1-14 ,1-9  ,-9
1610612764,Wizards,5,23,0.179,4-10 ,1-12 ,3-7  ,1
