SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631093,22301197,"APR 14, 2024",DET @ SAS,L,27.0,5,13,0.385,1.0,6,0.167,2.0,2,1.0,0,1,1.0,2.0,0.0,0.0,2,0.5,13.0,-10,1
22023,1631093,22301181,"APR 12, 2024",DET @ DAL,W,28.0,3,9,0.333,0.0,4,0.0,1.0,3,0.333,0,1,1.0,5.0,2.0,0.0,2,2.0,7.0,12,1
22023,1631093,22301166,"APR 11, 2024",DET vs. CHI,L,31.0,6,13,0.462,3.0,5,0.6,1.0,3,0.333,0,2,2.0,6.0,1.0,0.0,4,1.0,16.0,-16,1
22023,1631093,22301145,"APR 09, 2024",DET @ PHI,L,32.0,8,17,0.471,3.5,9,0.667,3.0,6,0.5,3,2,5.0,4.0,0.0,1.0,5,2.0,25.0,-10,1
22023,1631093,22301128,"APR 06, 2024",DET @ BKN,L,31.0,7,21,0.333,2.0,6,0.333,0.0,0,0.0,1,3,4.0,9.5,2.0,0.0,0,1.0,16.0,-6,1
22023,1631093,22301121,"APR 05, 2024",DET @ MEM,L,32.0,10,15,0.667,3.5,8,0.75,5.0,6,0.833,0,3,3.0,3.0,0.0,0.0,4,2.0,31.0,-5,1
22023,1631093,22301104,"APR 03, 2024",DET @ ATL,L,27.0,3,15,0.2,1.0,4,0.25,1.0,2,0.5,0,3,3.0,4.0,0.0,0.0,1,2.0,8.0,-10,1
22023,1631093,22301088,"APR 01, 2024",DET vs. MEM,L,35.0,7,17,0.412,2.0,8,0.25,4.0,5,0.8,0,3,3.0,6.0,0.0,0.0,2,1.0,20.0,0,1
22023,1631093,22301065,"MAR 29, 2024",DET @ WAS,W,37.0,5,17,0.294,1.0,6,0.167,2.0,2,1.0,1,6,7.0,5.0,0.0,1.0,1,3.0,13.0,11,1
22023,1631093,22301035,"MAR 25, 2024",DET @ NYK,L,24.0,2,14,0.143,1.0,6,0.167,4.0,4,1.0,2,2,4.0,3.0,2.0,1.0,2,2.0,9.0,-21,1
