SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
22023,1631105,22301166,"APR 11, 2024",DET vs. CHI,L,31.0,7.0,9.0,0.778,0,0.0,0.0,6,7,0.857,2.0,9,11.0,3,0.0,0.0,4,3.0,20.0,-14
22023,1631105,22301145,"APR 09, 2024",DET @ PHI,L,28.0,5.0,12.0,0.417,0,0.0,0.0,5,6,0.833,0.0,11,11.0,2,0.0,0.0,2,3.0,15.0,-5
22023,1631105,22301121,"APR 05, 2024",DET @ MEM,L,24.0,6.0,12.0,0.5,0,0.0,0.0,5,5,1.0,3.0,7,10.0,0,1.0,0.0,0,3.0,17.0,-4
22023,1631105,22301104,"APR 03, 2024",DET @ ATL,L,28.0,5.0,13.0,0.385,0,0.0,0.0,1,1,1.0,2.0,2,4.0,1,2.0,0.0,2,1.5,11.0,-25
22023,1631105,22301088,"APR 01, 2024",DET vs. MEM,L,15.5,2.0,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1,1.5,1,1.0,0.0,2,1.5,2.0,0
22023,1631105,22301065,"MAR 29, 2024",DET @ WAS,W,35.0,9.0,11.0,0.818,0,0.0,0.0,2,2,1.0,5.0,12,17.0,1,2.5,2.5,3,4.0,20.0,18
22023,1631105,22301056,"MAR 27, 2024",DET @ MIN,L,25.0,4.0,6.0,0.667,0,0.0,0.0,3,4,0.75,3.0,8,11.0,4,0.0,0.0,3,1.5,11.0,0
22023,1631105,22300997,"MAR 20, 2024",DET vs. IND,L,27.0,3.0,8.0,0.375,0,0.0,0.0,5,6,0.833,3.0,9,12.0,1,1.0,1.0,2,3.0,11.0,-14
22023,1631105,22300984,"MAR 18, 2024",DET @ BOS,L,22.0,3.0,7.0,0.429,0,0.0,0.0,2,2,1.0,0.0,9,9.0,0,0.0,0.0,2,2.0,8.0,-7
22023,1631105,22300977,"MAR 17, 2024",DET vs. MIA,L,29.0,4.0,10.0,0.4,0,0.0,0.0,3,4,0.75,3.0,7,10.0,1,0.0,1.0,2,3.0,11.0,-17
22023,1631105,22300962,"MAR 15, 2024",DET vs. MIA,L,34.0,7.0,9.0,0.778,0,0.0,0.0,1,2,0.5,2.0,15,17.0,1,0.0,1.0,3,2.0,15.0,-16
22023,1631105,22300946,"MAR 13, 2024",DET vs. TOR,W,28.0,8.0,9.0,0.889,0,0.0,0.0,8,10,0.8,7.0,14,21.5,5,1.0,0.0,5,3.0,24.0,9
22023,1631105,22300933,"MAR 11, 2024",DET vs. CHA,W,30.0,8.0,10.0,0.8,0,0.0,0.0,4,6,0.667,4.0,6,10.0,1,1.0,1.0,3,3.0,20.0,9
22023,1631105,22300919,"MAR 09, 2024",DET vs. DAL,L,16.0,2.0,4.0,0.25,0,0.0,0.0,4,4,1.0,2.0,6,8.0,3,0.0,0.0,2,4.0,6.0,-21
