TeamID,TeamName,WINS,LOSSES,WinPCT,HOME,ROAD,L10,CurrentStreak
1610612760,Thunder,28,5,0.848,14-2 ,13-3 ,10-0 ,13
1610612763,Grizzlies,23,11,0.676,14-4 ,9-7  ,7-3  ,1
1610612745,Rockets,22,11,0.667,12-5 ,10-5 ,7-3  ,1
1610612742,Mavericks,20,14,0.588,10-5 ,10-9 ,4-6  ,-3
1610612743,Nuggets,19,13,0.594,10-5 ,9-8  ,7-3  ,3
1610612747,Lakers,19,14,0.576,11-5 ,8-9  ,7-3  ,1
1610612746,Clippers,19,15,0.559,11-6 ,8-9  ,5-5  ,-2
1610612750,Timberwolves,17,16,0.515,9-7  ,8-9  ,5-5  ,-2
1610612744,Warriors,17,16,0.515,9-8  ,8-8  ,3-7  ,1
1610612759,Spurs,17,16,0.515,12-7 ,5-9  ,6-4  ,1
1610612756,Suns,15,17,0.469,10-8 ,5-9  ,3-7  ,-3
1610612758,Kings,15,19,0.441,8-12 ,7-7  ,4-6  ,2
1610612757,Trail Blazers,11,22,0.333,8-8  ,3-14 ,3-7  ,-2
1610612762,Jazz,7,25,0.219,2-12 ,5-13 ,2-8  ,-5
1610612740,Pelicans,5,29,0.147,4-14 ,1-15 ,0-10 ,-11
