Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1610612765,0022401221,"DEC 16, 2024",DET vs. MIA,W,11,16,0.407,265,44,90,0.489,20,40,0.5,17,23,0.739,7,45,52,32,8,4,21,24,125
1610612765,0022401205,"DEC 12, 2024",DET @ BOS,L,10,16,0.385,240,42,98,0.429,7,37,0.189,8,10,0.8,9,34,43,27,8,4,8,12,99
1610612765,0022400343,"DEC 07, 2024",DET @ NYK,W,10,15,0.4,240,43,83,0.518,18,36,0.5,16,19,0.842,9,34,43,28,7,0,18,20,120
1610612765,0022400319,"DEC 04, 2024",DET @ BOS,L,9,15,0.375,240,43,84,0.512,20,39,0.513,14,18,0.778,8,26,34,27,10,5,18,21,120
1610612765,0022400052,"DEC 03, 2024",DET vs. MIL,L,9,14,0.391,240,40,87,0.46,11,33,0.333,16,22,0.727,13,28,41,22,11,7,18,21,107
1610612765,0022400301,"NOV 30, 2024",DET vs. PHI,L,9,13,0.409,240,35,91,0.385,11,40,0.275,15,18,0.833,10,32,42,22,6,5,16,19,96
1610612765,0022400045,"NOV 29, 2024",DET @ IND,W,9,12,0.429,240,48,83,0.578,18,38,0.474,16,20,0.8,7,37,44,35,9,5,18,16,130
1610612765,0022400293,"NOV 27, 2024",DET @ MEM,L,8,12,0.4,240,40,85,0.471,13,38,0.342,18,25,0.72,9,33,42,24,6,4,18,17,111
1610612765,0022400278,"NOV 25, 2024",DET vs. TOR,W,8,11,0.421,240,34,76,0.447,12,37,0.324,22,31,0.71,6,32,38,27,4,7,14,19,102
1610612765,0022400265,"NOV 23, 2024",DET @ ORL,L,7,11,0.389,240,35,75,0.467,13,33,0.394,17,22,0.773,10,24,34,16,7,8,17,21,100
1610612765,0022400260,"NOV 21, 2024",DET @ CHA,L,7,10,0.412,265,42,99,0.424,17,48,0.354,20,25,0.8,21,35,56,30,8,3,19,23,121
1610612765,0022400244,"NOV 18, 2024",DET vs. CHI,L,7,9,0.438,240,42,98,0.429,15,44,0.341,13,19,0.684,16,32,48,27,3,3,9,19,112
1610612765,0022400237,"NOV 17, 2024",DET @ WAS,W,7,8,0.467,240,46,97,0.474,17,38,0.447,15,19,0.789,13,38,51,27,11,4,8,19,124
1610612765,0022400011,"NOV 15, 2024",DET @ TOR,W,6,8,0.429,240,39,95,0.411,8,38,0.211,13,20,0.65,14,42,56,24,8,8,13,16,99
1610612765,0022400223,"NOV 13, 2024",DET @ MIL,L,5,8,0.385,265,46,100,0.46,18,38,0.474,10,13,0.769,11,34,45,29,6,7,14,21,120
1610612765,0022400002,"NOV 12, 2024",DET vs. MIA,W,5,7,0.417,265,43,92,0.467,13,36,0.361,24,28,0.857,15,41,56,32,4,4,19,19,123
1610612765,0022400201,"NOV 10, 2024",DET vs. HOU,L,4,7,0.364,240,36,84,0.429,11,34,0.324,16,23,0.696,11,35,46,21,6,6,18,21,99
1610612765,0022400185,"NOV 08, 2024",DET vs. ATL,W,4,6,0.4,240,44,86,0.512,13,33,0.394,21,31,0.677,11,34,45,27,7,8,20,18,122
1610612765,0022400169,"NOV 06, 2024",DET @ CHA,L,3,6,0.333,240,46,94,0.489,10,32,0.313,5,9,0.556,6,40,46,34,5,4,10,20,107
1610612765,0022400156,"NOV 04, 2024",DET vs. LAL,W,3,5,0.375,240,45,96,0.469,8,34,0.235,17,22,0.773,17,38,55,22,6,5,12,25,115
1610612765,0022400151,"NOV 03, 2024",DET @ BKN,W,2,5,0.286,240,37,77,0.481,11,36,0.306,21,26,0.808,9,38,47,25,4,6,17,25,106
1610612765,0022400134,"NOV 01, 2024",DET vs. NYK,L,1,5,0.167,240,41,81,0.506,11,34,0.324,5,7,0.714,6,32,38,23,6,9,22,12,98
1610612765,0022400120,"OCT 30, 2024",DET @ PHI,W,1,4,0.2,240,36,78,0.462,15,36,0.417,18,22,0.818,12,37,49,23,4,5,16,25,105
1610612765,0022400105,"OCT 28, 2024",DET @ MIA,L,0,4,0.0,240,35,91,0.385,14,38,0.368,14,17,0.824,19,35,54,14,6,6,16,19,98
1610612765,0022400089,"OCT 26, 2024",DET vs. BOS,L,0,3,0.0,240,43,88,0.489,14,39,0.359,18,22,0.818,9,35,44,27,4,7,14,22,118
1610612765,0022400080,"OCT 25, 2024",DET @ CLE,L,0,2,0.0,240,38,81,0.469,13,32,0.406,12,17,0.706,8,34,42,25,3,5,22,22,101
1610612765,0022400063,"OCT 23, 2024",DET vs. IND,L,0,1,0.0,240,38,88,0.432,9,33,0.273,24,28,0.857,12,26,38,22,6,2,12,21,109
